.headers on

-- Name: Tyra Oberholzer
-- File: Lab03-tyra.sql
-- Date: July 16, 2020

-- 1. What is the order number and the date of each order sold by each employee?

select e.employeeid, e.firstname, e.lastname, o.orderid, o.orderdate from employees e join orders o on e.employeeid = o.employeeid order by e.lastname, e.firstname;
EmployeeID|FirstName|LastName|OrderID|OrderDate
5|Steven|Buchanan|10248|1996-07-04
5|Steven|Buchanan|10254|1996-07-11
5|Steven|Buchanan|10269|1996-07-31
5|Steven|Buchanan|10297|1996-09-04
5|Steven|Buchanan|10320|1996-10-03
5|Steven|Buchanan|10333|1996-10-18
5|Steven|Buchanan|10358|1996-11-20
5|Steven|Buchanan|10359|1996-11-21
5|Steven|Buchanan|10372|1996-12-04
5|Steven|Buchanan|10378|1996-12-10
5|Steven|Buchanan|10397|1996-12-27
5|Steven|Buchanan|10463|1997-03-04
5|Steven|Buchanan|10474|1997-03-13
5|Steven|Buchanan|10477|1997-03-17
5|Steven|Buchanan|10529|1997-05-07
5|Steven|Buchanan|10549|1997-05-27
5|Steven|Buchanan|10569|1997-06-16
5|Steven|Buchanan|10575|1997-06-20
5|Steven|Buchanan|10607|1997-07-22
5|Steven|Buchanan|10648|1997-08-28
5|Steven|Buchanan|10649|1997-08-28
5|Steven|Buchanan|10650|1997-08-29
5|Steven|Buchanan|10654|1997-09-02
5|Steven|Buchanan|10675|1997-09-19
5|Steven|Buchanan|10711|1997-10-21
5|Steven|Buchanan|10714|1997-10-22
5|Steven|Buchanan|10721|1997-10-29
5|Steven|Buchanan|10730|1997-11-05
5|Steven|Buchanan|10761|1997-12-02
5|Steven|Buchanan|10812|1998-01-02
5|Steven|Buchanan|10823|1998-01-09
5|Steven|Buchanan|10841|1998-01-20
5|Steven|Buchanan|10851|1998-01-26
5|Steven|Buchanan|10866|1998-02-03
5|Steven|Buchanan|10869|1998-02-04
5|Steven|Buchanan|10870|1998-02-04
5|Steven|Buchanan|10872|1998-02-05
5|Steven|Buchanan|10874|1998-02-06
5|Steven|Buchanan|10899|1998-02-20
5|Steven|Buchanan|10922|1998-03-03
5|Steven|Buchanan|10954|1998-03-17
5|Steven|Buchanan|11043|1998-04-22
8|Laura|Callahan|10262|1996-07-22
8|Laura|Callahan|10268|1996-07-30
8|Laura|Callahan|10276|1996-08-08
8|Laura|Callahan|10278|1996-08-12
8|Laura|Callahan|10279|1996-08-13
8|Laura|Callahan|10286|1996-08-21
8|Laura|Callahan|10287|1996-08-22
8|Laura|Callahan|10290|1996-08-27
8|Laura|Callahan|10301|1996-09-09
8|Laura|Callahan|10305|1996-09-13
8|Laura|Callahan|10310|1996-09-20
8|Laura|Callahan|10318|1996-10-01
8|Laura|Callahan|10334|1996-10-21
8|Laura|Callahan|10354|1996-11-14
8|Laura|Callahan|10366|1996-11-28
8|Laura|Callahan|10369|1996-12-02
8|Laura|Callahan|10380|1996-12-12
8|Laura|Callahan|10383|1996-12-16
8|Laura|Callahan|10399|1996-12-31
8|Laura|Callahan|10402|1997-01-02
8|Laura|Callahan|10408|1997-01-08
8|Laura|Callahan|10412|1997-01-13
