.headers on

-- Name: Tyra oberholzer
-- File: TSQL-EX03-Tyra.sql
-- Date: July 19, 2020

-- 1. Using SQLite and the Northwind database, create a line item report that contains a line for each product in the order with the following columns: the order id, the product id, the unit price, the quantity sold, the line item price, and the percent of that line item constitutes of the total amount of the order.

select orderid, productid, unitprice, (unitprice * quantity) as line_total, ((unitprice*quantity)/(sum(unitprice*quantity)))*100 as PctOfTotalOrder from order_details group by orderid;
OrderID|ProductID|UnitPrice|line_total|PctOfTotalOrder
10248|11|14.0|168.0|38.1818181818182
10249|14|18.6|167.4|8.98357840506601
10250|41|7.7|77.0|4.24710424710425
10251|22|16.8|100.8|15.0268336314848
10252|20|64.8|2592.0|69.4906166219839
10253|31|10.0|200.0|13.8427464008859
10254|24|3.6|54.0|8.63723608445297
10255|2|15.2|304.0|12.2063842601887
10256|53|26.2|393.0|75.8980301274623
10257|27|35.1|877.5|78.3552102866327
10258|2|15.2|760.0|37.6498563360745
10259|21|8.0|80.0|79.3650793650794
10260|41|7.7|123.2|7.05532012369717
10261|21|8.0|160.0|35.7142857142857
10262|5|17.0|204.0|32.6504481434059
10263|16|13.9|834.0|33.8364167478092
10264|2|15.2|532.0|73.4299516908213
10265|17|31.2|936.0|79.5918367346939
10266|12|30.4|364.8|100.0
10267|40|14.7|735.0|18.2336889109402
10268|29|99.0|990.0|89.901925172539
10269|33|2.0|120.0|17.7514792899408
10270|36|15.2|456.0|33.1395348837209
10271|33|2.0|48.0|100.0
10272|20|64.8|388.8|26.7032967032967
10273|10|24.8|595.2|27.781926811053
10274|71|17.2|344.0|63.8692907538062
10275|24|3.6|43.2|14.0625
10276|10|24.8|372.0|88.5714285714286
10277|28|36.4|728.0|60.6262491672219
10278|44|15.5|248.0|16.6577109081139
10279|17|31.2|468.0|100.0
10280|24|3.6|43.2|7.04500978473581
10281|19|7.3|7.3|8.4393063583815
10282|30|20.7|124.2|79.9227799227799
10283|15|12.4|248.0|17.5289793610404
10284|27|35.1|526.5|36.2603305785124
10285|1|14.4|648.0|29.7356828193833
10286|35|14.4|1440.0|47.7453580901857
10287|16|13.9|556.0|60.1731601731602
10288|54|5.9|59.0|66.2921348314607
10289|3|8.0|240.0|50.0625782227785
10290|5|17.0|340.0|15.6754264638082
10291|13|4.8|96.0|17.3661360347323
10292|20|64.8|1296.0|100.0
10293|18|50.0|600.0|70.6963591375044
10294|1|14.4|259.2|13.7317228226319
10295|56|30.4|121.6|100.0
10296|11|16.8|201.6|19.1890348372359
10297|39|14.4|864.0|60.8450704225352
10298|2|15.2|608.0|19.4435561240806
10299|19|7.3|109.5|31.3304721030043
10300|66|13.6|408.0|67.1052631578947
10301|40|14.7|147.0|19.4701986754967
10302|17|31.2|1248.0|46.0720614294152
10303|40|14.7|588.0|47.3429951690821
10304|49|16.0|480.0|50.2933780385583
10305|18|50.0|1250.0|30.0697618474862
10306|30|20.7|207.0|41.5245737211635
10307|62|39.4|394.0|92.9245283018868
10308|69|28.8|28.8|32.4324324324324
10309|4|17.6|352.0|19.9772985244041
10310|16|13.9|139.0|41.3690476190476
10311|42|11.2|67.2|25.0
10312|28|36.4|145.6|9.01659648253654
10313|36|15.2|182.4|100.0
10314|32|25.6|1024.0|44.0051568543189
10315|34|11.2|156.8|30.3405572755418
10316|41|7.7|77.0|2.71604938271605
10317|1|14.4|288.0|100.0
10318|41|7.7|154.0|64.0599001663894
10319|17|31.2|249.6|20.9536601746138
10320|71|17.2|516.0|100.0
10321|35|14.4|144.0|100.0
10322|52|5.6|112.0|100.0
10323|15|12.4|62.0|37.712895377129
10324|16|13.9|291.9|4.74179242677756
10325|6|20.0|120.0|8.01603206412826
10326|4|17.6|422.4|43.0142566191446
10327|2|15.2|380.0|16.7955801104972
10328|59|44.0|396.0|33.9041095890411
10329|19|7.3|73.0|1.51471137485994
10330|26|24.9|1245.0|64.1752577319588
10331|54|5.9|88.5|100.0
10332|18|50.0|2000.0|89.541547277937
10333|14|18.6|186.0|19.4968553459119
10334|52|5.6|44.8|30.939226519337
10335|2|15.2|106.4|4.18041804180418
10336|4|17.6|316.8|100.0
10337|23|7.2|288.0|11.674098094852
10338|17|31.2|624.0|66.7736757624398
10339|4|17.6|176.0|5.08200508200508
10340|18|50.0|1000.0|38.9954765247231
10341|33|2.0|16.0|3.88349514563107
10342|2|15.2|364.8|15.855354659249
10343|64|26.6|1330.0|83.858764186633
10344|4|17.6|616.0|21.5686274509804
10345|8|32.0|2240.0|76.5864332603939
10346|17|31.2|1123.2|64.8798521256932
10347|25|11.2|112.0|12.0689655172414
10348|1|14.4|216.0|54.5454545454545
10349|54|5.9|141.6|100.0
10350|50|13.0|195.0|27.3338940285955
10351|38|210.8|4216.0|74.256728195012
10352|24|3.6|36.0|23.3766233766234
10353|11|16.8|201.6|1.87681537201162
10354|1|14.4|172.8|30.379746835443
10355|24|3.6|90.0|18.75
10356|31|10.0|300.0|27.114967462039
10357|10|24.8|744.0|54.7058823529412
10358|24|3.6|36.0|7.9646017699115
10359|16|13.9|778.4|21.300350262697
10360|28|36.4|1092.0|14.7763254039133
10361|39|14.4|777.6|34.201266713582
10362|25|11.2|560.0|36.1383582860093
10363|31|10.0|200.0|44.7227191413238
10364|69|28.8|864.0|90.9473684210526
10365|11|16.8|403.2|100.0
10366|65|16.8|84.0|61.7647058823529
10367|34|11.2|403.2|48.3337329177655
10368|21|8.0|40.0|2.18078726420238
10369|29|99.0|1980.0|78.3475783475783
10370|1|14.4|216.0|18.3986371379898
10371|36|15.2|91.2|100.0
10372|20|64.8|777.6|6.33162883105885
10373|58|10.6|848.0|49.6487119437939
10374|31|10.0|300.0|65.359477124183
10375|14|18.6|279.0|82.5443786982248
10376|31|10.0|420.0|100.0
10377|28|36.4|728.0|71.6535433070866
10378|71|17.2|103.2|100.0
10379|41|7.7|61.6|6.42201834862385
10380|30|20.7|372.6|26.2431328356106
10381|74|8.0|112.0|100.0
10382|5|17.0|544.0|18.7586206896552
10383|13|4.8|96.0|10.678531701891
10384|20|64.8|1814.4|81.6414686825054
10385|7|24.0|240.0|27.7777777777778
10386|24|3.6|54.0|32.5301204819277
10387|24|3.6|54.0|5.10204081632653
10388|45|7.6|114.0|8.94819466248038
10389|10|24.8|396.8|21.6499345264077
10390|31|10.0|600.0|26.3713080168776
10391|13|4.8|86.4|100.0
10392|69|28.8|1440.0|100.0
10393|2|15.2|380.0|11.5060861139708
10394|13|4.8|48.0|10.8597285067873
10395|46|9.6|268.8|11.5206583233328
10396|23|7.2|288.0|15.1276394579263
10397|21|8.0|80.0|9.4876660341556
10398|35|14.4|432.0|15.7894736842105
10399|68|10.0|600.0|33.9827820570911
10400|29|99.0|2079.0|67.8746327130264
10401|30|20.7|372.6|9.63139120095125
10402|23|7.2|432.0|15.9203980099502
10403|16|13.9|291.9|29.0187891440501
10404|26|24.9|747.0|44.5970149253731
10405|3|8.0|400.0|100.0
10406|1|14.4|144.0|7.13507085521752
10407|11|16.8|504.0|42.2110552763819
10408|37|20.8|208.0|12.8205128205128
10409|14|18.6|223.2|69.9248120300752
10410|33|2.0|98.0|12.2194513715711
10411|41|7.7|192.5|15.9288374017377
10412|14|18.6|372.0|100.0
10413|1|14.4|345.6|16.2773172569706
10414|19|7.3|131.4|56.7847882454624
10415|17|31.2|62.4|60.9375
10416|19|7.3|146.0|20.2777777777778
10417|38|210.8|10540.0|93.4132161089053
10418|2|15.2|912.0|50.2534714569098
10419|60|27.2|1632.0|73.9130434782609
10420|9|77.6|1552.0|81.787521079258
10421|19|7.3|29.2|2.29343386742067
10422|26|24.9|49.8|100.0
10423|31|10.0|140.0|13.7254901960784
10424|35|14.4|864.0|7.51748860195594
10425|55|19.2|192.0|40.0
10426|56|30.4|152.0|44.9438202247191
10427|14|18.6|651.0|100.0
10428|46|9.6|192.0|100.0
10429|50|13.0|520.0|29.7397769516729
10430|17|31.2|1404.0|24.223602484472
10431|17|31.2|1560.0|61.8311533888228
10432|26|24.9|249.0|51.340206185567
10433|56|30.4|851.2|100.0
10434|11|16.8|100.8|28.0
10435|2|15.2|152.0|24.0658644711843
10436|46|9.6|48.0|2.17115976117243
10437|53|26.2|393.0|100.0
10438|19|7.3|109.5|19.295154185022
10439|12|30.4|456.0|42.3005565862709
10440|2|15.2|684.0|11.8071498852083
10441|27|35.1|1755.0|100.0
10442|11|16.8|504.0|28.125
10443|11|16.8|100.8|18.75
10444|17|31.2|312.0|30.2413492294272
10445|39|14.4|86.4|49.3996569468268
10446|19|7.3|87.6|32.0175438596491
10447|19|7.3|292.0|31.9335083114611
